"Declenchement du son", "Sound triggering";
"Volume Audio", "Audio level";
"Transposition selon la gamme", "Scale based transposition";
"Gel de la hauteur du son", "Pitch freeze";
"Selection du sample2", "Select sample2";
"Joue une mini-boucle", "mini-loop mode";
"Renverse le sens de lecture du sample", "reverse playing direction";
Fragmentation, Fragmentation;
"Inertie d'accélération", "Acceleration inertia";
"Inertie de déccélération", "Deceleration inertia";
"Début du sample 1", "Sample 1 start";
"Début du sample 2", "Sample 2 start";
"Durée du sample 1", "Sample 1 duration";
"Durée du sample 2", "Sample 2 duration";
"Volume du sample 1", "Sample 1 level";
"Volume du sample 2", "Sample 2 level";
"Hauteur du sample 1", "Sample 1 pitch";
"Hauteur du sample 2", "Sample 2 pitch";
"Déclenchement de l'image", "Image trigger";
"Intensité lumineuse de l'image", "Image luminosity";
"Supprime l'inertie", "Bypass inertia";
"Gel de l'image", "Image freeze";
"Selection de la texture2", "Select texture 2";
"Position sur l'axe X", "X-axis position";
"Position sur l'axe Y", "Y-axis position";
"Position sur l'axe Z", "Z-axis position";
"Rotation selon l'axe X", "X-axis rotation";
"Rotation selon l'axe Y", "Y-axis rotation";
"Rotation selon l'axe Z", "Z-axis rotation";
"Taille selon l'axe X", "X-axis scale";
"Taille selon l'axe Y", "Y-axis scale";
"Taille selon l'axe Z", "Z-axis scale";
Rouge, Red;
Vert, Green;
Bleu, Blue;
"Lumière on/off", "Light on/off";
"Revenir au début de la boucle", "Restart loop";
"Matière sonore", "Sonic material";
"Matière visuelle", "Visual material";
"Paramètres Audio", "Audio parameters";
"Paramètres Vidéo", "Video parameters";
