"Declenchement du son", "Declenchement du son";
"Volume Audio", "Volume Audio";
"Transposition selon la gamme", "Transposition selon la gamme";
"Gel de la hauteur du son", "Gel de la hauteur du son";
"Selection du sample2", "Selection du sample2";
"Joue une mini-boucle", "Joue une mini-boucle";
"Renverse le sens de lecture du sample", "Renverse le sens de lecture du sample";
Fragmentation, Fragmentation;
"Inertie d'accélération", "Inertie d'accélération";
"Inertie de déccélération", "Inertie de déccélération";
"Début du sample 1", "Début du sample 1";
"Début du sample 2", "Début du sample 2";
"Durée du sample 1", "Durée du sample 1";
"Durée du sample 2", "Durée du sample 2";
"Volume du sample 1", "Volume du sample 1";
"Volume du sample 2", "Volume du sample 2";
"Hauteur du sample 1", "Hauteur du sample 1";
"Hauteur du sample 2", "Hauteur du sample 2";
"Déclenchement de l'image", "Déclenchement de l'image";
"Intensité lumineuse de l'image", "Intensité lumineuse de l'image";
"Supprime l'inertie", "Supprime l'inertie";
"Gel de l'image", "Gel de l'image";
"Selection de la texture2", "Selection de la texture2";
"Position sur l'axe X", "Position sur l'axe X";
"Position sur l'axe Y", "Position sur l'axe Y";
"Position sur l'axe Z", "Position sur l'axe Z";
"Rotation selon l'axe X", "Rotation selon l'axe X";
"Rotation selon l'axe Y", "Rotation selon l'axe Y";
"Rotation selon l'axe Z", "Rotation selon l'axe Z";
"Taille selon l'axe X", "Taille selon l'axe X";
"Taille selon l'axe Y", "Taille selon l'axe Y";
"Taille selon l'axe Z", "Taille selon l'axe Z";
Rouge, Rouge;
Vert, Vert;
Bleu, Bleu;
"Lumière on/off", "Lumière on/off";
"Revenir au début de la boucle", "Revenir au début de la boucle";
"Matière sonore", "Matière sonore";
"Matière visuelle", "Matière visuelle";
"Paramètres Audio", "Paramètres Audio";
"Paramètres Vidéo", "Paramètres Vidéo";
